20260829,20260830,20260831
11.0,14.0,0.0
12.0,13.0,0.0
12.0,12.0,34.0
14.0,16.0,216.0
84.0,24.0,599.0
159.0,38.0,921.0
316.0,98.0,1126.0
481.0,180.0,1304.0
597.0,277.0,1379.0
695.0,436.0,1389.0
697.0,550.0,1305.0
747.0,598.0,1195.0
743.0,599.0,1140.0
783.0,621.0,1090.0
763.0,610.0,1086.0
792.0,640.0,1066.0
769.0,624.0,1093.0
799.0,639.0,1070.0
774.0,626.0,1090.0
780.0,635.0,1073.0
769.0,620.0,1109.0
776.0,642.0,1126.0
750.0,630.0,1165.0
768.0,644.0,1280.0
748.0,610.0,1371.0
748.0,633.0,1422.0
741.0,624.0,1430.0
741.0,612.0,1426.0
702.0,587.0,1375.0
672.0,570.0,1300.0
619.0,538.0,1142.0
586.0,501.0,957.0
510.0,460.0,781.0
481.0,415.0,686.0
448.0,396.0,614.0
400.0,323.0,501.0
269.0,175.0,317.0
173.0,80.0,195.0
147.0,50.0,136.0
131.0,24.0,109.0
